,n_neighbors,algorithm,leaf_size,metric,contamination,precision,recall,f1
420,1,auto,200,euclidean,0.05,0.0,0.0,0.0
421,3,auto,200,euclidean,0.05,0.0,0.0,0.0
422,5,auto,200,euclidean,0.05,0.0,0.0,0.0
423,7,auto,200,euclidean,0.05,0.5,0.16666666666666666,0.25
424,9,auto,200,euclidean,0.05,0.5,0.16666666666666666,0.25
425,12,auto,200,euclidean,0.05,0.0,0.0,0.0
426,18,auto,200,euclidean,0.05,0.0,0.0,0.0
427,1,auto,200,manhattan,0.05,0.0,0.0,0.0
428,3,auto,200,manhattan,0.05,0.0,0.0,0.0
429,5,auto,200,manhattan,0.05,0.5,0.16666666666666666,0.25
